hardware,batch,mode_id,status,gpu_count,lpu_count,pools,output_tps,ttft_s,tpot_ms,draft_prefix,reason
Vera-Rubin NV144 · 每GPU池,1,pafd_split_draft_lpu,infeasible,288,768,PA=144GPU; PF=256LPU; DA=144GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,1,prefill_gpu_decode_lpu,infeasible,288,768,PA=144GPU; PF=144GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,4,all_gpu,feasible,72,0,main=72GPU,2215.3760936681642,0.11210404731994696,1.7786275839191918,0,
Vera-Rubin NV72 · 总GPU均分,4,pd_gpu,feasible,72,0,prefill=36GPU; decode=36GPU,2006.2232263007456,0.12103072859971477,1.994510652829837,0,
Vera-Rubin NV72 · 总GPU均分,4,pd_draft_gpu,feasible,72,0,prefill=24GPU; decode=24GPU; draft=24GPU,7423.225612011338,0.20841411306193702,0.615401154558593,5,
Vera-Rubin NV72 · 总GPU均分,4,pd_draft_lpu,infeasible,72,256,prefill=36GPU; decode=36GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,4,pafd_split_draft_lpu,infeasible,72,768,PA=36GPU; PF=256LPU; DA=36GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,4,prefill_gpu_decode_lpu,infeasible,72,768,PA=36GPU; PF=36GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,4,all_gpu,feasible,72,0,main=72GPU,2215.3760936681642,0.11210404731994696,1.7786275839191918,0,
Vera-Rubin NV72 · 每GPU池,4,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,2249.4741660087607,0.11210404731994696,1.7790243546346984,0,
Vera-Rubin NV72 · 每GPU池,4,pd_draft_gpu,feasible,216,0,prefill=72GPU; decode=72GPU; draft=72GPU,7801.045264410367,0.11210404731994696,0.586737212019268,5,
Vera-Rubin NV72 · 每GPU池,4,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,4,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,4,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,4,all_gpu,feasible,144,0,main=144GPU,2212.951797276895,0.12020593531994699,1.7786275839191918,0,
Vera-Rubin NV144 · 总GPU均分,4,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,2249.4741660087607,0.11210404731994696,1.7790243546346984,0,
Vera-Rubin NV144 · 总GPU均分,4,pd_draft_gpu,feasible,144,0,prefill=48GPU; decode=48GPU; draft=48GPU,7801.045264410367,0.10940341798661363,0.586737212019268,5,
Vera-Rubin NV144 · 总GPU均分,4,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,4,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,4,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,4,all_gpu,feasible,144,0,main=144GPU,2212.951797276895,0.12020593531994699,1.7786275839191918,0,
Vera-Rubin NV144 · 每GPU池,4,pd_gpu,feasible,288,0,prefill=144GPU; decode=144GPU,2249.4741660087607,0.12020593531994699,1.7790243546346984,0,
Vera-Rubin NV144 · 每GPU池,4,pd_draft_gpu,feasible,432,0,prefill=144GPU; decode=144GPU; draft=144GPU,7801.045264410367,0.12020593531994699,0.586737212019268,5,
Vera-Rubin NV144 · 每GPU池,4,pd_draft_lpu,infeasible,288,256,prefill=144GPU; decode=144GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,4,pafd_split_draft_lpu,infeasible,288,768,PA=144GPU; PF=256LPU; DA=144GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,4,prefill_gpu_decode_lpu,infeasible,288,768,PA=144GPU; PF=144GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,16,all_gpu,feasible,72,0,main=72GPU,8572.805528578525,0.2192166303952703,1.8132898567272728,0,
Vera-Rubin NV72 · 总GPU均分,16,pd_gpu,feasible,72,0,prefill=36GPU; decode=36GPU,7883.576398828345,0.2367861502618011,2.030766279022311,0,
Vera-Rubin NV72 · 总GPU均分,16,pd_draft_gpu,feasible,72,0,prefill=24GPU; decode=24GPU; draft=24GPU,24585.11224284199,0.6215055102481827,0.7704103451452842,5,
Vera-Rubin NV72 · 总GPU均分,16,pd_draft_lpu,infeasible,72,256,prefill=36GPU; decode=36GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,16,pafd_split_draft_lpu,infeasible,72,768,PA=36GPU; PF=256LPU; DA=36GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,16,prefill_gpu_decode_lpu,infeasible,72,768,PA=36GPU; PF=36GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,16,all_gpu,feasible,72,0,main=72GPU,8572.805528578525,0.2192166303952703,1.8132898567272728,0,
Vera-Rubin NV72 · 每GPU池,16,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,8825.895730091355,0.2192166303952703,1.8147011154134756,0,
Vera-Rubin NV72 · 每GPU池,16,pd_draft_gpu,feasible,216,0,prefill=72GPU; decode=72GPU; draft=72GPU,29692.90244804535,0.2192166303952703,0.638979414130537,5,
Vera-Rubin NV72 · 每GPU池,16,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,16,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
